n_iter =  3000
dt =    0.020833
Level      ,         1,         2,         3,         4,         5,         6,         7,         8,         9,        10,        11,        12,        13,        14,        15,        16,        17,        18,        19,        20,        21,        22,        23,        24,        25
P [mbar]   ,  0.050000,  0.100397,  0.101496,  0.103442,  0.106894,  0.113018,  0.123874,  0.143196,  0.173967,  0.222622,  0.302786,  0.434943,  0.652861,  1.012068,  1.604436,  2.464588,  3.460619,  4.399371,  5.222609,  5.842584,  6.213227,  6.398020,  6.468640,  6.503950,  6.516790
Temp [K]   ,   75.4485,   81.7596,   81.8756,   82.0794,   82.4359,   83.0534,   84.1054,   85.8614,   88.4110,   91.9865,   97.0549,  104.0361,  113.4445,  125.9640,  142.5915,  162.3892,  181.9997,  198.6012,  212.1711,  221.9387,  227.6267,  230.4250,  231.4883,  232.0186,  232.2113
===============================
it  ,   tau    ,  Tsfc    ,   alb    ,   OLR    ,  dn VIS  , up  VIS  ,    ASR   , NET top  , NET bot  ,  lev   01,  lev   02,  lev   03,  lev   04,  lev   05,  lev   06,  lev   07,  lev   08,  lev   09,  lev   10,  lev   11,  lev   12,  lev   13,  lev   14,  lev   15,  lev   16,  lev   17,  lev   18,  lev   19,  lev   20,  lev   21,  lev   22,  lev   23,  lev   24,  lev   25
   1,    0.0000,  232.2595,    0.2193,  145.7737,  148.4341,   32.5494,  115.8848,  -29.8881,  -27.3143,   75.4485,   81.7596,   81.8756,   82.0794,   82.4359,   83.0534,   84.1054,   85.8614,   88.4110,   91.9865,   97.0549,  104.0361,  113.4445,  125.9640,  142.5915,  162.3892,  181.9997,  198.6012,  212.1711,  221.9387,  227.6267,  230.4250,  231.4883,  232.0186,  232.2113
   2,    0.0000,  232.2131,    0.2194,  146.4338,  148.3944,   32.5531,  115.8413,  -30.2210,  -32.0947,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  162.4209,  179.7454,  193.5804,  204.5836,  211.9612,  216.1936,  218.1032,  218.8765,  219.2412,  219.3716
   3,    0.0000,  232.1586,    0.2194,  146.1988,  148.3944,   32.5527,  115.8417,  -29.9856,  -32.5909,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0354,  169.2928,  183.4114,  194.5795,  203.8985,  210.1855,  213.7725,  215.4735,  216.1456,  216.4894,  216.6162
   4,    0.0000,  232.1033,    0.2194,  146.2049,  148.3944,   32.5526,  115.8418,  -29.9916,  -32.6756,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0016,  155.0846,  169.3086,  183.9283,  195.2758,  203.9778,  210.0294,  213.4382,  215.0862,  215.7362,  216.0825,  216.2119
   5,    0.0000,  232.0479,    0.2194,  145.9693,  148.3944,   32.5526,  115.8418,  -29.7560,  -32.3991,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0033,  155.1343,  169.3251,  183.9157,  195.3881,  204.0787,  210.0335,  213.4167,  215.0628,  215.7230,  216.0675,  216.1963
   6,    0.0000,  231.9929,    0.2194,  145.7342,  148.3944,   32.5525,  115.8418,  -29.5209,  -32.1116,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0053,  155.1835,  169.3417,  183.9034,  195.4148,  204.1389,  210.0665,  213.4544,  215.0969,  215.7547,  216.0983,  216.2270
   7,    0.0000,  231.9384,    0.2194,  145.7332,  148.3944,   32.5525,  115.8419,  -29.5199,  -32.0969,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0073,  155.2328,  169.3583,  183.8912,  195.4418,  204.1809,  210.1046,  213.4951,  215.1374,  215.7914,  216.1346,  216.2630
   8,    0.0000,  231.8839,    0.2194,  145.4971,  148.3944,   32.5525,  115.8419,  -29.2837,  -31.8021,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0096,  155.2815,  169.3750,  183.8799,  195.4725,  204.2175,  210.1412,  213.5340,  215.1759,  215.8286,  216.1715,  216.3000
   9,    0.0000,  231.8300,    0.2194,  145.4993,  148.3944,   32.5525,  115.8419,  -29.2859,  -31.7891,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0118,  155.3302,  169.3916,  183.8687,  195.5051,  204.2519,  210.1775,  213.5697,  215.2121,  215.8641,  216.2069,  216.3326
  10,    0.0000,  231.7760,    0.2194,  145.2643,  148.3944,   32.5525,  115.8419,  -29.0509,  -31.5039,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0142,  155.3784,  169.4084,  183.8702,  195.5320,  204.2830,  210.2119,  213.6036,  215.2457,  215.8967,  216.2336,  216.3570
  11,    0.0000,  231.7226,    0.2194,  145.2659,  148.3944,   32.5524,  115.8420,  -29.0525,  -31.4955,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0167,  155.4268,  169.4246,  183.8859,  195.5520,  204.3086,  210.2407,  213.6315,  215.2741,  215.9230,  216.2577,  216.3810
  12,    0.0000,  231.6691,    0.2194,  145.0300,  148.3944,   32.5524,  115.8420,  -28.8165,  -31.2079,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0195,  155.4747,  169.4410,  183.9051,  195.5724,  204.3311,  210.2671,  213.6570,  215.3002,  215.9474,  216.2817,  216.4051
  13,    0.0000,  231.6162,    0.2194,  145.0294,  148.3944,   32.5524,  115.8420,  -28.8160,  -31.2009,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0222,  155.5226,  169.4575,  183.9250,  195.5933,  204.3531,  210.2914,  213.6807,  215.3231,  215.9705,  216.3047,  216.4277
  14,    0.0000,  231.5632,    0.2194,  144.7959,  148.3944,   32.5524,  115.8420,  -28.5824,  -30.9159,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0252,  155.5700,  169.4741,  183.9444,  195.6141,  204.3750,  210.3148,  213.7041,  215.3467,  215.9939,  216.3276,  216.4508
  15,    0.0000,  231.5108,    0.2194,  144.7955,  148.3944,   32.5523,  115.8420,  -28.5820,  -30.9098,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0282,  155.6175,  169.4908,  183.9641,  195.6346,  204.3968,  210.3362,  213.7257,  215.3686,  216.0158,  216.3497,  216.4728
  16,    0.0000,  231.4583,    0.2194,  144.5614,  148.3944,   32.5523,  115.8421,  -28.3479,  -30.6312,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0314,  155.6644,  169.5076,  183.9830,  195.6548,  204.4183,  210.3580,  213.7480,  215.3911,  216.0378,  216.3719,  216.4950
  17,    0.0000,  231.4063,    0.2194,  144.5635,  148.3944,   32.5523,  115.8421,  -28.3500,  -30.6196,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0347,  155.7115,  169.5238,  184.0019,  195.6750,  204.4386,  210.3793,  213.7693,  215.4124,  216.0592,  216.3934,  216.5164
  18,    0.0000,  231.3544,    0.2194,  144.3275,  148.3944,   32.5523,  115.8421,  -28.1140,  -30.3348,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0383,  155.7581,  169.5403,  184.0201,  195.6948,  204.4592,  210.4008,  213.7909,  215.4334,  216.0808,  216.4149,  216.5377
  19,    0.0000,  231.3029,    0.2194,  144.3305,  148.3944,   32.5523,  115.8421,  -28.1169,  -30.3237,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0418,  155.8048,  169.5568,  184.0382,  195.7142,  204.4796,  210.4201,  213.8117,  215.4542,  216.1016,  216.4353,  216.5582
  20,    0.0000,  231.2514,    0.2194,  144.0933,  148.3944,   32.5523,  115.8421,  -27.8797,  -30.0480,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0456,  155.8509,  169.5735,  184.0559,  195.7328,  204.4997,  210.4405,  213.8318,  215.4749,  216.1217,  216.4558,  216.5787
  21,    0.0000,  231.2004,    0.2194,  144.0939,  148.3944,   32.5522,  115.8421,  -27.8803,  -30.0449,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0494,  155.8971,  169.5901,  184.0733,  195.7513,  204.5192,  210.4604,  213.8517,  215.4947,  216.1415,  216.4756,  216.5984
  22,    0.0000,  231.1494,    0.2194,  143.8603,  148.3944,   32.5522,  115.8422,  -27.6467,  -29.7596,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0531,  155.9432,  169.6068,  184.0903,  195.7696,  204.5378,  210.4802,  213.8715,  215.5146,  216.1616,  216.4956,  216.6185
  23,    0.0000,  231.0989,    0.2194,  143.6262,  148.3944,   32.5522,  115.8422,  -27.4126,  -29.4786,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0572,  155.9890,  169.6230,  184.1073,  195.7877,  204.5564,  210.4995,  213.8908,  215.5330,  216.1806,  216.5147,  216.6373
